,coef,feature
78,-0.04595676076244628,be more
7,-0.04514899282709116,after the
43,-0.04461360480226322,as as
92,-0.04345403678301608,be that
6,-0.042121713316384826,after pron
56,-0.04201180753233402,be about
220,-0.04190746055331192,movie but
236,-0.04103690307395822,not that
354,-0.040994273524291316,some of
343,-0.03987143417551169,see the
324,-0.03959648329248947,pron this
93,-0.03958469134559446,be the
441,-0.036919922583812805,to for
168,-0.03629200919697835,good pron
307,-0.03527612613257183,pron make
10,-0.034451069675687965,all pron
117,-0.03442589156448311,can not
161,-0.03440048020574555,go
94,-0.034364838335968026,be there
149,-0.03427414036993252,for pron
150,-0.03414261512900311,for the
242,-0.03297820830506987,of as
335,-0.03238837008393211,really
224,-0.03226775659937863,movie the
368,-0.03226714099434667,that the
334,-0.03189355959763882,pron would
350,-0.03133657215464222,so much
227,-0.030551592638627237,never
361,-0.029533672695419542,than the
284,-0.02897401368084831,pron can
340,-0.028912718123067564,scene be
291,-0.028661149020168763,pron for
267,-0.02754075772882509,or the
171,-0.026893827945491965,have and
107,-0.02685861295582149,but be
51,-0.02680219052299283,at pron
313,-0.026514397875033537,pron out
479,-0.026145528498177948,which be
405,-0.024428515025835772,the that
244,-0.023593075159817678,of but
57,-0.02306283920212471,be all
157,-0.02285472744628951,get the
140,-0.02092406148037319,film pron
263,-0.02050766149365993,one pron
322,-0.019081739786258062,pron the
223,-0.018012268517275165,movie that
468,-0.017303656449157146,way
238,-0.017299157900297533,not to
250,-0.017246560708541855,of that
309,-0.017226015570212708,pron not
297,-0.016058042557398174,pron have
11,-0.012479338855693871,all the
380,-0.01147040532816238,the character
397,-0.011021089764664701,the or
471,-0.00982237718054954,well pron
430,-0.006850007204499378,this one
159,-0.006800369554947605,give
225,-0.006114767636564962,movie to
36,-0.005923790201366648,and this
323,-0.004264749447733269,pron think
329,0.0018084203822799935,pron watch
398,0.005343093520777834,the other
288,0.005879985906576392,pron do
360,0.007428553455437775,than pron
489,0.007605913194245088,with
283,0.009560609987913643,pron by
484,0.01079563763256575,who pron
415,0.012742117450916924,the with
463,0.013130906020126131,want to
198,0.014965265584578457,know pron
298,0.016134555236461862,pron if
142,0.01652355800748447,film the
428,0.016637514225919487,this movie
453,0.01666434543992106,to this
104,0.017157976710366413,because
201,0.01776804544011268,like pron
369,0.01777916462189722,that this
30,0.019330908210708497,and on
379,0.02036285446160156,the by
13,0.021347225190792147,an
477,0.022495259522637697,when the
399,0.02278773662407968,the people
456,0.023182375300563707,to with
312,0.024056002433978898,pron or
60,0.02518621035860685,be and
122,0.026167636740836577,come
321,0.02680998113747254,pron that
422,0.027266884103533708,think pron
356,0.02770824682155536,story be
390,0.02976912999916214,the in
105,0.030366198024772022,because pron
295,0.03043097736412188,pron go
33,0.032523004888463866,and the
435,0.032830969444564366,time pron
333,0.03544270316431189,pron with
483,0.03629889443329333,who have
14,0.03634263538839099,an and
382,0.0381122453010367,the end
486,0.03832749202917068,will be
431,0.04129317920411139,this pron
66,0.04227656203388979,be by
375,0.04284491664544274,the at
221,0.04311206503818394,movie have
353,0.04331367864271481,some
163,0.04371498629629631,go to
58,0.04375501520767145,be also
186,0.045028795679614084,in be
23,0.046194136259629745,and do
245,0.04656469617201384,of film
451,0.049562126505283306,to that
177,0.04963040770130944,have see
455,0.05087949403369468,to watch
248,0.053853788806617085,of of
240,0.05526747814165327,of all
203,0.05647175410506288,like this
285,0.05682488489732402,pron character
258,0.05928730555822467,on the
83,0.06071998402883621,be on
490,0.06264888648979189,with and
261,0.06459208529656929,one be
112,0.06507321748655559,by and
19,0.06593320338173383,and and
165,0.06608688923191716,good and
113,0.0695096932796255,by pron
190,0.0699540324244133,in the
95,0.0699677369419744,be this
123,0.07046214271680205,come to
154,0.07192147772535892,from the
100,0.07234968230400378,be what
34,0.07314433540521512,and then
102,0.07366986715045268,be who
18,0.07881325503136515,and all
371,0.07884159853659461,the
413,0.08020467398260794,the which
222,0.0813657878909623,movie pron
152,0.08166813304882826,from
80,0.08295459849911686,be no
402,0.0839420734939883,the scene
35,0.08659792084407401,and there
143,0.08678083474543677,film to
386,0.08735287311754754,the from
472,0.08747812967546328,what
476,0.08776209112663329,when pron
178,0.08835384474658836,have the
427,0.09031884593200526,this film
